city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,jacareacanga,-6.22,-57.75,87.8,74,40,5.82,BR,1604513146
87,cockburn town,21.46,-71.14,84.2,70,75,13.87,TC,1604513146
88,hamilton,39.18,-84.53,68.0,39,1,12.75,US,1604513147
89,half moon bay,37.46,-122.43,68.0,93,90,8.05,US,1604513147
90,aguimes,27.91,-15.45,70.0,93,40,17.22,ES,1604513147
91,uray,60.12,64.78,34.92,88,64,13.29,RU,1604513147
92,ponta do sol,32.67,-17.1,64.4,68,40,16.11,PT,1604513147
93,tevriz,57.51,72.4,34.02,89,15,10.67,RU,1604513147
94,omaruru,-21.43,15.93,70.11,24,0,9.37,NA,1604513148
95,bosanski brod,45.14,17.99,55.99,100,90,3.36,BA,1604513148
96,ndele,8.41,20.65,78.33,53,70,3.13,CF,1604513148
97,yellowknife,62.46,-114.35,0.0,76,75,9.17,CA,1604513148
98,rosamorada,22.12,-105.21,91.22,31,12,1.39,MX,1604513148
99,vestmannaeyjar,63.44,-20.27,46.4,87,90,23.04,IS,1604513148
100,kudahuvadhoo,2.67,72.89,83.1,70,57,3.11,MV,1604513148
101,port elizabeth,-33.92,25.57,68.0,82,0,6.93,ZA,1604513148
102,georgetown,5.41,100.34,80.6,88,40,4.7,MY,1604512959
103,caravelas,-17.71,-39.25,72.63,83,100,6.11,BR,1604513148
104,haines junction,60.75,-137.51,-20.2,68,100,1.12,CA,1604513148
105,malmyzh,56.52,50.68,33.91,92,2,3.02,RU,1604513149
106,sabancuy,18.97,-91.18,79.59,73,100,14.14,MX,1604513149
107,kousseri,12.08,15.03,89.6,22,25,6.93,CM,1604513149
108,sterlibashevo,53.44,55.26,42.6,71,85,5.03,RU,1604513149
109,avera,33.19,-82.53,69.8,22,1,9.17,US,1604513149
110,longyearbyen,78.22,15.64,32.0,94,75,18.34,SJ,1604512897
111,upernavik,72.79,-56.15,17.96,95,100,8.66,GL,1604513149
112,atuona,-9.8,-139.03,78.85,79,24,20.89,PF,1604513149
113,tallahassee,30.44,-84.28,75.0,30,20,6.93,US,1604513123
114,mayo,38.89,-76.51,68.0,67,1,10.29,US,1604513149
115,avarua,-21.21,-159.78,71.6,88,100,11.41,CK,1604513149
116,coihaique,-45.58,-72.07,55.4,58,75,5.82,CL,1604513149
117,bud,39.45,-86.18,69.01,40,1,10.29,US,1604513149
118,kasongo-lunda,-6.47,16.82,73.94,91,89,1.68,CD,1604513150
119,nouadhibou,20.93,-17.03,71.6,73,7,20.8,MR,1604513150
120,cape town,-33.93,18.42,71.6,64,20,20.8,ZA,1604513022
121,rapar,23.57,70.63,78.17,47,0,2.86,IN,1604513150
122,santa vitoria do palmar,-33.52,-53.37,64.92,54,9,12.64,BR,1604513150
123,morondava,-20.28,44.28,78.91,80,0,16.73,MG,1604513150
124,nantucket,41.28,-70.1,48.2,61,1,10.29,US,1604513072
125,pozo colorado,-23.49,-58.8,95.11,16,0,6.53,PY,1604513150
126,pachino,36.72,15.09,64.0,82,69,1.01,IT,1604513151
127,lagoa,39.05,-27.98,60.48,69,53,18.68,PT,1604513151
128,elat,29.56,34.95,78.8,47,0,6.93,IL,1604513138
129,paamiut,61.99,-49.67,31.82,91,97,18.3,GL,1604513151
130,qarchi gak,37.04,66.79,62.6,16,5,6.93,AF,1604513151
131,saint george,37.1,-113.58,57.2,20,1,2.1,US,1604513120
